prenatal;renda;saneamento;desemprego;analfabet;Gini;fundamental;PIB_per_capita
51.77;378.68;69.18904009;7.59;20.5;0.5762;41.15;5634.93
34.76;228.6;13.06553911;6.2;24.4;0.5333;30.52;4579.23
46.93;279.24;61.985155;6.46;31.3;0.5072;29.46;5536.94
43.4;189.69;33.67399741;21.19;32;0.503;30.18;4347.49
33.09;234.76;27.78805252;6.55;39.3;0.5922;24.02;4429.57
48.63;271.87;45.84855125;5.52;26.1;0.4997;30.12;4608.82
49.06;257.08;44.52434166;16.68;25.8;0.5148;32.25;5012.84
48.03;252.59;52.15602837;4.67;33.2;0.521;28.41;4184.45
51.28;282.41;41.91093117;10.89;31.5;0.503;28.81;5149.56
56.86;246.68;44.56304203;4.27;33;0.5898;30.04;4125.18
45.99;230.93;5.224963716;22.89;23.1;0.4599;33.53;3548.17
46.84;314.53;40.33674608;5.4;24.8;0.5653;31.82;5351.51
71.03;446.09;83.27047146;10.86;16.8;0.597;46.94;6045.07
48.67;251.54;64.56904265;8.32;34.5;0.5252;31.37;4027.14
30.37;238.12;34.88505747;17.93;20.7;0.575;39.3;4940.36
57.02;224.72;40.50758075;9.38;31.6;0.4714;31.04;4064.2
39.8;347.18;35.76976698;7.26;20;0.6285;43.13;5165.68
47.25;366.02;70.62454939;9.3;23.7;0.5181;37.04;10832.77
36.08;219.54;22.56797583;3.59;31.5;0.553;24.67;4053.66
56.52;343.39;68.84268381;9.17;27.1;0.536;31.5;5746.81
61.6;232.17;23.12352743;6.07;27.2;0.5523;31.08;4765.93
40.53;299.93;54.49442644;8.04;32.1;0.6288;28.21;6826.71
58.69;240.38;12.75407435;5.63;28.1;0.4957;33.2;4953.56
49.35;250.49;61.96909411;11.34;32.3;0.5673;27.32;5412.18
43.14;226.01;21.93919474;7.93;30.7;0.4924;28.71;6261.87
41.98;261.9;46.92632567;6.89;25.1;0.4978;29.7;4144.37
46.26;289.19;49.69445492;4.9;29.7;0.4796;24.11;4281.84
56.16;244.81;8.354359406;11.04;27.1;0.4576;31.33;4801.08
48.65;172.04;28.87737215;7.26;39.4;0.5787;22.93;5232.2
53.23;441.95;31.49882027;16.77;12.5;0.5586;50.94;24192.58
48.62;290.45;58.87461774;10.19;23.8;0.5944;36.59;6053.31
52.17;297.29;71.90800681;5.55;32.1;0.4989;26.92;5495.34
60.68;175.46;24.13447783;2.9;39.5;0.6031;22.8;3970.28
53.86;213.95;35.4280218;1.79;31.7;0.537;27.09;5031.52
31.72;271.82;36.68890237;9.91;33.9;0.5433;26.14;4367.3
61.73;446;20.7893616;14.61;10.6;0.532;53.66;5238.55
53.09;283.94;66.30163305;10.18;30.2;0.5351;29.22;5368.15
48.01;273.19;17.53533569;12.29;27.4;0.4872;35.19;18263.52
54.2;228.1;45.5600784;4.86;35.1;0.5374;24.73;4333.45
47.18;214.37;31.09030622;3.6;30.3;0.5067;24.02;4726.03
54.41;227.07;37.50929368;6.37;25.5;0.539;31.73;3954.11
32.3;167.93;9.942638623;7.82;26.6;0.566;36.38;4092.74
52.18;388.37;3.097303853;11.98;15.9;0.521;49.34;7724.78
58.63;540.9;75.7476325;6.7;14.9;0.5422;45.85;9538.01
55.04;199.58;11.18131868;9.01;31.3;0.4535;29.79;4903.67
47.06;282.32;60.57142857;16.23;25.2;0.5552;40.45;5107.42
60.83;267.55;56.67634253;6.01;21.8;0.5618;40.13;4281.32
56.1;228.58;13.13889691;18.45;23.9;0.463;35.2;4600.78
45.62;338.1;45.13019953;8.2;30.2;0.5582;27.11;5436.36
50.06;287.55;2.076227199;14.82;25.2;0.5405;40.06;4869.16
52.04;243.11;36.10855566;4.92;32.5;0.5266;24.47;4611.88
43.86;223.48;51.86522262;6.6;27.8;0.4822;30.97;8893.36
61.07;245.83;16.63389697;7.22;30.2;0.5049;28.56;5482.47
53.61;327.09;80.36852314;5.78;30.1;0.5069;30.96;4916.29
52.61;342.86;46.26850938;7.6;26.3;0.5359;30.58;6132.5
50.86;255.97;23.40928633;2.96;25.9;0.4708;31.51;5627.36
42.62;314.35;31.76451115;16.58;21.1;0.4729;42.05;7454.85
46.21;233.2;5.488997555;7.19;25.6;0.5728;32.39;4904.04
48.53;285.16;15.44389148;8.75;29;0.4905;26.86;4193.4
77.14;1024.28;73.5042735;3;4.8;0.4605;73.03;12787.77
47.49;307.35;46.61944623;10.8;29.1;0.5106;32.95;5834.58
44.37;224.26;26.00029749;5.37;31.9;0.5172;25.02;4017.67
44.1;307.25;37.39420008;8.16;18;0.5244;43.83;9773.22
43.44;278.56;11.99554069;3.88;30.4;0.4807;23.53;4211.84
39.09;219.6;37.74566474;13.12;26.5;0.4828;39.01;4148.64
60;480.22;45.27670734;11.02;17;0.599;45.85;8809.98
52.52;274.81;33.97505751;6.89;28;0.5287;32.33;4101.67
42.7;350.73;23.2867784;15.33;16.9;0.5569;46.92;9706.81
44.24;231.61;27.94612795;3.19;25.6;0.5438;34.65;5795.98
58.18;392.96;61.18120002;10.16;22.2;0.5403;35.02;6188.51
37.98;197.33;27.41127349;4.89;38.8;0.5607;21.24;4174.6
57.21;215.05;31.36863137;7.44;31.5;0.523;28.69;5142.91
46.77;237.14;40.57591623;1.91;34.1;0.4756;27.12;5396.38
44.88;370.54;8.791319877;16.92;13.9;0.4988;48.51;11240.37
42.61;291.73;32.56006628;7.81;28.3;0.549;31.64;4129.69
52.65;179.99;14.94832973;7.39;32.4;0.6093;27.51;4753.3
41.53;286.41;43.25581395;6.87;25.3;0.5324;33.8;4850.52
42.24;346.14;33.28488372;14.56;20.3;0.5213;39.21;112791.21
53.32;230.51;16.23943467;9.74;28.7;0.5308;27.23;4950.43
49.33;268.68;80.38528897;16.89;21.9;0.4693;40.8;6321.07
37.39;214.42;24.62941847;4.22;40.7;0.5217;19.95;6522.95
35.41;386.44;1.166234728;14.12;12.1;0.6125;47.35;5557.54
47.43;253.69;7.25388601;14.45;30;0.534;30.69;5694.57
70.04;326.28;52.80572323;5.62;25.1;0.5593;29.86;4275.64
45.68;297.51;13.79950495;12.41;16.7;0.5574;42.05;20169.23
42.4;245.7;9.419953596;16.61;27.1;0.4628;34.11;6024.14
49.98;566.17;26.15518125;13.48;8.7;0.5961;56.88;12968.19
48.11;237.7;20.77212163;17.6;30.9;0.5894;31.29;4642.71
64.13;238.22;41.65050636;3.94;34.5;0.4966;20.88;4578.56
52.53;331.75;59.56669277;9.95;22.8;0.58;41.9;4562.44
52.34;265.82;13.1175836;5.55;35.1;0.5035;27.7;4512.52
48.94;253.43;45.18447532;13.84;29;0.501;28.88;6721.01
55.46;226.64;42.38875878;1.51;30.3;0.5123;27.62;4888.73
60.51;258.83;46.36294991;3.17;31.2;0.5052;30.49;5268.42
60.23;203.68;60.65337497;4.18;38;0.5139;19.95;4422.25
52.38;268.31;2.275189599;8.05;23.4;0.455;32.78;4439.09
51.14;246.69;12.02749141;11.5;26.5;0.4681;32.04;10777.8
66.13;220.39;48.82352941;7.37;39.6;0.5188;21.42;4491.53
48.92;247.31;41.03278337;5.02;38.5;0.5057;22.66;4202.27
53.31;292.9;37.79280765;11.1;24.4;0.5267;36.79;11060.2
54.15;328.72;59.93455735;5.55;26;0.5094;33.35;5310.67
59.11;383.29;31.50225582;9.18;18.6;0.5282;44.82;5856.27
46.98;275.13;59.5709571;10.4;30.2;0.5139;33.25;4965.47
53.33;220.75;1.47632312;7.29;33.1;0.5063;30.95;4991.55
36.58;154.19;1.712907117;5.08;40.9;0.5438;19.49;3812.9
47.4;228.97;14.57450277;9.48;35.3;0.5489;27.75;7489.42
47.63;185.93;40.51868377;8.21;22.2;0.5992;36.82;4472.8
58;331.35;39.47000547;18.1;16.2;0.5259;43.52;5357.4
53.37;339.89;71.31818706;12.48;17.3;0.5107;44.41;7545.88
51.57;621.73;40.54645967;13.01;6.5;0.5678;61.97;8227.06
60.81;232.58;18.31207684;6.85;30.3;0.5315;32.36;4469.76
45.22;219.76;32.98877732;5.73;22.6;0.5195;37.26;8915.61
46.39;284.85;49.29620008;8.69;28;0.6209;29.35;4800.7
47.14;292.93;47.26552351;16.6;20.2;0.5175;43.45;7848.13
59.79;241.51;46.01200686;13.36;32.4;0.5336;28.9;5060.91
50.98;230.71;44.18029408;6.03;37.9;0.5724;24.28;4105.86
51.28;209.82;3.653846154;2.84;35;0.5504;24.37;4683.05
52.33;250.69;35.30571992;9.74;24.9;0.5926;34.21;5117.71
57.88;253.6;3.839461779;8.57;32.6;0.5137;29.15;4479.06
44.66;346.79;14.39757336;14.68;20.8;0.5755;40.32;5153.46
50.79;507.98;45.77150108;14.36;5.9;0.5047;64.87;7087.91
56.09;239.27;41.20441052;7.51;32.4;0.5464;28.68;6506.54
35.87;321.35;53.89920713;7.78;23.3;0.5734;37.14;5495.25
68.94;333.69;66.0289314;11.4;17.6;0.5686;41.41;21710.46
49.05;584.31;61.69309667;10.08;11.4;0.6253;52.38;10712.81
44.9;226.73;41.77553444;2.52;33.5;0.5495;23.12;4388.74
61.77;293.3;50.15943435;10.43;27.7;0.4945;31.17;5959.34
48.73;276.76;41.04518236;11.27;26.9;0.4505;30.94;5190.09
37.43;213;45.27458493;7.91;39.3;0.4877;24.64;5400.61
54.4;214.69;24.05764967;3.47;26.3;0.4924;29.71;4198.82
56.24;1109.01;54.98986732;12.21;6.9;0.6894;65.04;19530.42
52.48;304.05;41.29096656;4.94;34.4;0.516;23.35;5274.65
39.75;313.17;57.54479987;15.35;22.8;0.5205;39.21;5758.99
39.59;260.84;29.58569082;16.31;22.2;0.4512;38.14;8304.79
52.64;291.79;11.86393028;4.8;33.9;0.4626;25.3;7585.69
45.01;194.79;1.009657594;20.04;47.1;0.5265;25.14;5780.56
59.25;437.08;58.63721054;11.48;16.2;0.6006;44.64;7866.74
39.53;253.14;35.2247441;3.97;33.4;0.5614;25.78;4602.94
58.69;260.24;42.96457219;12.1;24.9;0.5168;34.82;4762.66
54;205.6;20.98696978;9.06;30.1;0.5686;26.61;4289.46
40.05;254.28;41.85907046;5.45;26.7;0.508;34.16;3578.96
48.52;492.61;85.64763043;2.24;15.1;0.4661;35.04;6614.91
61.87;173.89;3.274139845;4.84;31.8;0.5491;23.47;3980.43
60.01;264.56;37.81521184;6.74;21.8;0.554;34.74;6962.52
36.82;277.85;14.65220841;1.89;33.9;0.4668;21.43;5582.68
52.22;223.97;50.79575597;17.52;23.8;0.5206;34;3870.62
45.37;165.84;19.8929808;14.05;36.4;0.5283;25.41;3733.69
49.61;313.78;44.90756532;6.74;29;0.6094;29.11;5357.69
64.82;294.93;49.46529081;5.37;28.9;0.5075;29.07;4485.68
47.29;259.98;14.85625753;4.69;31.9;0.5734;26.34;4866.08
65.51;238.28;65.87493941;2.89;34.3;0.5461;20.73;5542.2
28.04;294.51;0.898876404;15.64;22.7;0.5846;41.39;4804.45
63.52;271.08;31.40326975;7.43;25.7;0.5502;35.31;4349.5
37.28;332.77;61.7966338;8.96;20.1;0.5428;36.02;5084.04
49.22;355.18;31.27618168;16.89;15.7;0.5173;45.57;5073.82
47.52;254.55;50.79707023;10.97;30.5;0.5566;24.95;5579.51
35.16;401.48;70.29444975;7.26;19.9;0.5714;43.56;8942.94
40;231.57;33.77123443;6.69;24.7;0.5668;35.25;4269.33
54.24;327.11;45.62107646;8.7;26.3;0.6111;35.16;5871.8
46.8;266.97;17.48077115;15.68;23.2;0.4578;35.51;7916.76
56.72;200.26;5.676410605;4.76;23.8;0.542;36.62;4552.62
62.07;236.21;27.37864078;5.73;25.8;0.5675;30.49;4391.47
49.68;362.17;55.43881688;6.91;24.2;0.5362;37.48;6109.8
56.19;268.88;68.25955734;7.64;21.3;0.5214;34.33;4282.85
49.72;218.74;38.9457523;3.8;35.8;0.5151;25.88;4384.12
49.3;203.46;12.47803163;6.1;25.3;0.4977;35.73;3951.33
40.54;283.96;1.534718323;13.42;21.9;0.5576;35.1;6654.53
42.03;418.64;37.69470405;4.42;22.3;0.4213;33.44;4676.38
52.35;223.79;37.5135722;4.98;36.4;0.5377;25.61;4766.98
66.26;235.5;45.60099133;10.16;19.9;0.4996;35.96;4780.3
49.85;310.69;47.97546821;12.07;20.1;0.5154;37.72;8280.53
43.7;448.52;77.29013255;2.74;19.7;0.4464;29.61;6249.89
50.84;262.62;18.94188596;10.92;22.6;0.4542;32.45;5481.91
38.89;333.14;34.60980563;8.51;25.7;0.5784;29.37;5401.21
55.11;385.55;17.69177609;4.3;17.3;0.5645;42.87;4611.46
53.01;168.82;25.69060773;5.1;39.2;0.621;20.32;4509.41
47.31;357.83;54.9284886;5.62;22.6;0.4688;35.54;4999.96
66.23;272.4;51.55141844;7.66;27.3;0.5274;31.49;5668.33
56.22;257.07;30.46357616;9.29;26.6;0.5493;33.18;4469.9
46.75;218.89;2.770562771;3.22;33.2;0.4512;26.33;8050.66
39.37;335.84;31.72111699;4.79;23.9;0.4645;28.87;5211.09
43.37;234.24;38.61607143;15.24;22.1;0.5108;37.61;5984.1
60.94;389.18;58.49262283;12.51;21.6;0.5537;39.76;9637.11
40.51;237.27;51.09110747;17.19;32.9;0.4999;31.04;4528.81
25.01;210.89;28.91005291;4.25;30.1;0.5667;25.81;3529.7
42.34;236.86;8.829832833;13.85;35.6;0.5381;30.02;4227.73
46.16;411.55;10.50156202;8.47;21.9;0.5589;41.89;8791.17
36.03;230.76;17.86664221;14.97;32.3;0.5172;27.97;5153.39
38.45;235.97;13.97417504;12.45;26.4;0.5362;28.98;4306.67
45.28;419.63;15.24144869;6.85;22.6;0.5576;35.17;6852.2
28.13;263.7;14.94809689;9.11;28.5;0.4951;33.64;4310.98
37.97;306.66;6.369915579;6.27;31.8;0.5609;28.29;4619.12
29.1;184.58;5.472636816;4.58;38;0.6614;19.98;4917.84
53.07;253.04;60.54462935;14.98;25.9;0.5251;36.32;6364.82
54.32;214.53;33.81759483;7.54;40;0.4304;19.33;4145.94
41.29;257.03;0.104202848;7.92;39.7;0.5954;22.06;4218.96
39.22;218.17;6.413693545;14.63;33.5;0.5038;30.6;4200.62
37.43;241.48;54.49640288;13.34;32.7;0.4785;28.26;4275.37
29.49;202.89;14.49766462;24.13;27;0.4882;34.67;4132.54
30.57;177.37;6.50887574;5.84;39.4;0.5815;21.94;3742.67
28.37;182.07;3.404255319;4.16;40.3;0.6032;17.98;3450.16
49.78;246.99;51.95180723;10.61;31.9;0.5017;31.77;4891.72
32.81;196.83;0;3.56;28.6;0.5463;25.27;3315.48
36.62;218.26;0.857908847;2.19;35.1;0.522;30.54;4488.28
44.48;201.97;1.475025142;2.06;39.8;0.5216;21.23;3285.4
27.78;236.92;66.76157935;10.77;34;0.5406;22.6;5591.44
36.08;293.98;13.63636364;13.4;29.2;0.5025;32.2;4075.13
27.24;306.1;12.8875969;10.75;21.5;0.5408;38.85;10340.74
33.38;193.89;0.375234522;2.46;41.5;0.5318;22.78;3656.06
36.8;323.91;68.48691695;12.11;23.4;0.538;34.27;6512.15
33.49;188.89;0.305498982;2.84;38;0.5548;22.53;3469.45
36.71;194.71;0.720720721;4.41;40.1;0.5124;21.87;3266.95
34.59;190.47;1.020228672;2.83;38.3;0.5351;22.64;3611.5
48.12;240.72;0.499168053;14.01;31.4;0.5;29.53;8509.27
49.65;210.32;45.33459001;12.38;32.6;0.4796;24.37;4170.53
36.73;174.57;1.068923282;8.13;34.5;0.5873;24.28;3521.79
47.31;190.82;57.29116369;7.81;37.5;0.5345;21.3;3986.23
38.07;238.75;2.38162345;5.42;37.2;0.5725;25.43;3705.76
30.84;249.21;2.439413265;4.87;35.8;0.663;26.92;6156.65
44.72;177.26;1.814470401;3.86;39.3;0.6782;16.42;3272.4
34.72;229.8;1.012292119;7.34;27;0.5015;30.7;5883.95
41.61;217.52;23.22274882;10.35;31;0.47;24.72;4694.77
37.18;259.18;3.462117411;11.82;27.7;0.5178;29.87;4385.28
28.86;216.88;0.143678161;8.54;37;0.4854;30.46;4508.55
38.22;195.83;0.957919945;11.19;28.2;0.4746;26.8;9668.67
34.51;184.4;2.357207616;6.61;38;0.506;21.9;3472.35
31.15;281.79;0.444839858;6.41;30;0.5381;28.21;6069.82
42.13;298.53;0.22019503;8.69;32.9;0.5691;29.04;4657.65
39.38;223.18;1.503759398;3.22;36.2;0.5269;27.59;3774.03
38.11;225.86;0.442282176;8.23;34.7;0.564;28.19;3334.6
51.05;773.26;30.6919313;12.01;11.3;0.6378;57.88;12987.53
40.24;267.72;2.12724434;7.39;34.6;0.549;26.78;4351.87
21.09;251.04;24.8776509;7.78;29.1;0.5385;32.6;4521.79
42.65;228.15;0.33632287;6.48;28.4;0.5798;28.73;3731.32
45.23;415.94;9.644002302;11.55;20.9;0.6112;41.43;16513.75
41.08;292.46;66.2392044;8.78;28.9;0.4927;28.94;4494.92
50;228.61;13.19845857;9.33;28.1;0.4801;28.47;4409.63
35.1;185.12;10.30351438;1.62;38.8;0.5747;20.49;3170.06
39.97;216.1;1;16.31;29.9;0.4809;31.35;4767.17
45.01;248.03;19.08692288;17.89;31.4;0.5022;29.82;4372.53
40.98;227.33;0;7.27;41.9;0.5411;23.38;4627.05
29.65;176.01;0.235849057;14.19;36.7;0.4931;25.64;3708.81
54.37;230.14;55.33202486;14.53;30.1;0.4894;26.05;4609.53
34.59;234.6;34.87290763;9.53;35.5;0.5525;23.51;4664.23
33.12;270.05;0.785101333;6.97;29.8;0.5576;28.43;4294.83
37.84;206.71;11.78133836;6.98;36.5;0.5503;20.12;3975.55
34.08;150.58;0.38491147;1.58;40.9;0.592;21.25;3941.5
40.73;193.31;0.655624569;6.38;37.6;0.5611;17.84;3633.08
45.01;225.24;0.16943409;6.85;31.3;0.5564;29.52;3308.95
31.95;178.97;4.009433962;8.15;36.5;0.604;29.89;3370.63
42.7;385.01;6.241127809;8.18;22.9;0.5745;38.26;5921.35
24.05;220.9;3.554970375;8.31;29.9;0.5714;35.62;3928.83
37.58;210.07;1.733436055;3.36;29.4;0.5042;23.26;3364.79
38.68;322.47;0.424028269;11.7;23.9;0.5398;35.91;4949.34
42.09;190.71;2.789699571;9.48;32.4;0.4939;26.14;4676.48
60.48;245.82;3.172348485;10.77;30.1;0.5291;33.01;3667.56
35.1;328.36;11.9300819;12.44;23.1;0.5658;40.55;5886.06
29.8;220.91;9.141750914;13.43;30.1;0.5334;32.67;4544.6
58.51;282.27;9.216642104;15.53;25;0.5349;36.12;6152.23
49.08;291.68;0.265251989;9.33;37.5;0.5868;27.2;5461.8
59.56;254.98;46.03478261;6.96;30.4;0.6126;31.11;3484.58
35.07;160.42;0.901171523;6.13;33.3;0.6395;24.59;3127.31
56.11;251.38;7.206928549;10.76;26.4;0.4872;33.99;5777.95
36.1;232.55;0.269420745;4.67;31.4;0.5372;24.78;4436.28
32.06;189.13;27.96543598;13.59;34.5;0.6208;29.04;4889.98
47.1;221.24;12.02258386;5.32;31.1;0.5358;26.28;4213.98
46.18;358.04;20.35350249;16.63;17;0.4988;43.53;6405.56
31.09;198.27;5.93220339;14.11;37.2;0.4703;21.02;6265.77
51.22;290.94;2.454642476;14.32;23.3;0.4928;32.01;9030.95
38.65;288.98;3.148488392;8.67;28.5;0.6244;33.34;4901.94
54.3;185.7;4.414382342;6.73;39.7;0.5044;22.76;4968.01
40.3;213.32;5.211190346;7.05;34.3;0.6251;30.66;4167.27
41.38;280.89;58.63351936;10.01;30.4;0.4915;29.43;7018.58
25.96;187.57;0.575519371;4.44;35.1;0.581;24.14;3255.77
31.83;242.58;2.989130435;12.55;33.3;0.506;27.76;6746.34
34.25;345.09;50.57766367;20.23;19.9;0.5254;40.36;11169.39
50.86;235.11;1.228249744;11.72;28.2;0.4896;35.15;4612.74
30.19;223.22;0.531412376;9.81;34.8;0.5522;25.69;4296.23
55.98;368.62;56.23855611;13.49;17.9;0.5312;49.92;4289.58
35.48;156.77;2.402105956;1.25;35.3;0.5498;24.54;3062.9
38.79;214.11;2.159090909;4.71;38.4;0.5067;25.08;3738.09
45.63;213.58;1.787057938;4.25;37;0.5169;22.88;3894.7
47.89;240.71;40.50755521;14.03;27.4;0.5223;30.52;5220.19
24.38;176.7;2.241161616;3.83;44.9;0.6452;22.13;3028.77
52.57;298.45;61.99623352;11.7;31.2;0.5469;31.32;6091.34
39.87;240.44;19.02198295;16.78;31.8;0.6128;33.79;4072.6
52.06;274.02;17.00879765;7.47;22.8;0.5102;41.92;6535.61
36.78;269.57;29.09911416;9.62;27.8;0.5542;30.15;5738.95
56.51;1022.07;72.2065218;10.71;6.6;0.6341;67.7;15322.61
29.49;242.23;0.878081729;6.95;27.8;0.5104;30.59;5458.75
61.96;292.52;3.545019574;9.53;25.3;0.4841;29.36;5534.91
47.07;397.3;26.70172363;14.78;12.8;0.6002;46.89;9859.49
33.92;294.25;0.567788395;9.3;23.1;0.5081;34.52;6573.24
29.01;194.86;0.789733465;11.62;31.4;0.52;27.99;5827.31
72.02;389.86;12.82298496;3.75;27.5;0.5433;31.48;6008.52
32.66;247.57;3.256704981;3.39;32;0.5254;31.29;6080.76
45.62;259.97;43.35250879;11.32;30.8;0.5584;29.07;53745.97
34.19;309.91;2.397995705;14.84;22.9;0.5563;36.77;12487.68
57.67;290.02;4.362529591;6.75;34.2;0.4961;26.47;9815.67
46.92;377.89;63.8161411;22.39;12.7;0.5589;46.61;29652.63
57.29;346.7;28.7403903;8.2;20.9;0.5338;40.09;6087.91
26.22;228.22;1.095826533;7.69;28.8;0.5002;25.99;5870.5
65.37;282.36;7.020547945;3.91;25.2;0.4877;34.97;6293.39
52;275.96;12.19512195;12.81;23.5;0.3997;41.01;27007.89
41.93;385.38;9.396452304;14.07;17.6;0.5383;44.59;15983
28.47;232.12;22.44623656;15.98;29.4;0.485;31.31;6591.25
61.6;379.95;5.500883169;6.85;26.7;0.4907;26.43;15818.39
27.7;225.64;12.87713841;4.45;30;0.6244;26.56;6216.01
53.69;342.66;37.07482993;21.24;14;0.5612;48.56;5659.92
25.92;247.13;22.6035503;6.99;30.2;0.5784;28.26;6230.18
36.49;185.63;12.12950296;10.09;23.3;0.5833;32.06;4985.68
18.37;219.1;0.630676085;5.37;24.1;0.5328;33.39;5730.51
70.6;433.11;48.69822713;5.45;21.9;0.5312;36.54;9480.11
29.38;249.38;39.69516871;6.42;29.4;0.5091;26.11;5372.45
32.36;273.39;25.54278416;4.74;29.1;0.4814;32.2;6308.02
27.5;230.94;19.45116054;17.88;25.7;0.5081;32.89;14727.4
52.88;287.84;5.456907752;12.03;19.4;0.5114;43.35;20410.12
33.73;244.4;1.897689769;7.76;30.8;0.4979;29.28;7258
40.11;357.94;16.25262548;6.67;24.5;0.5069;35.86;7377.95
43.1;275.29;23.40086831;18.18;14;0.5351;47.12;35711.42
72.45;281.47;24.03499743;3.66;32.3;0.4323;29.19;5421.32
44.48;258.83;6.135629709;12.27;23.2;0.4686;37.36;6293.15
72.42;307.48;2.867585044;3.59;25;0.4563;28.55;5061.75
40.75;302.76;55.58810275;18.12;17.3;0.4994;41.48;10331.66
64.74;324.71;26.95852535;2.19;26.6;0.4443;23.94;5171.99
34.29;213.62;28.83131202;8.8;33.5;0.5692;27.72;5884.52
53.48;284.12;2.260702261;8.83;24;0.4923;39.37;6851.08
25.95;277.28;10.91480173;16.45;22.8;0.5692;39.62;7810.8
65.69;262.71;40.93364198;3.67;36;0.5539;26.51;7106.01
34.97;310.09;31.4654238;5.91;26.2;0.528;32.05;9471.09
40.83;287.16;4.688574178;8.8;27.7;0.5211;33.06;6318.59
50.55;257.96;13.51045789;5.76;26.9;0.5;36.75;5819.94
40.8;358.22;50.26918494;14.5;10.6;0.498;49.89;11222.43
29.16;190.68;0.283366393;7.81;30.1;0.5862;31.6;11128.6
68.86;331.92;4.482758621;9.81;26.3;0.5372;34.48;6752.97
47.13;271.83;1.587301587;6.6;26;0.5223;33.35;4858.88
62.22;292.99;13.68301026;5.54;30.6;0.4268;31.33;6648.76
48.58;254.06;10.55004509;9.51;18.7;0.5428;37.05;6180.25
38.71;197.86;26.30972204;6.42;35.5;0.6019;22.6;5137.33
42.91;261.68;41.74668496;5.82;29;0.5172;23.55;5341.4
28.27;219.28;35.65534966;8.22;29.1;0.5727;31.07;6053.52
50.49;390.62;69.03521825;10.62;18.3;0.5529;47.75;10073.7
33.15;207.85;2.602821379;2.51;29.8;0.4864;22.53;5053.9
40.22;309.68;53.80479735;19.58;16.6;0.5069;44.95;12123.55
76.03;352.34;53.64349776;5.51;26.7;0.459;32.34;7580
46.23;332.76;25.79899884;16.94;13.5;0.5148;48.54;44247.29
35.65;310.24;0.851757883;7.61;26.3;0.5115;33.29;5279.81
29.95;192.48;1.120872463;7.9;32.2;0.5354;26.18;6849.02
30.32;230.25;1.025917927;9.58;20.8;0.4846;40.75;4980.8
47.88;205.47;13.22393822;9.8;26.2;0.4698;36.18;6297.91
42.64;349.94;4.042956412;29.41;18.2;0.5832;43.76;6195.85
42.64;381.89;25.7160731;13.12;12.3;0.4816;49.95;6360.92
73.66;279.74;1.254422644;4.88;32.4;0.414;29.65;5586.26
62.17;264.05;6.188605108;8.85;28.5;0.4901;31.86;5268.96
59.45;279.22;38.76190476;3.25;34.4;0.4888;25.13;7181.31
36.47;290.16;43.3925913;11;26;0.5013;32.35;7173.53
30.35;264.01;4.613356766;14.08;20;0.479;42.22;12587.1
38.62;256.72;18.27956989;9.95;28.6;0.5007;40.17;5933.49
30.86;343.61;55.58088183;6.82;28.4;0.5527;27.33;6015.31
39.37;202.09;1.322825781;7.09;32.1;0.4755;25.97;5289
33.14;268.46;0.604377654;5.68;25.2;0.4664;31.09;6548.17
54.41;282.2;9.634809635;7.85;20.1;0.4742;30.26;4248.23
51.65;214.86;29.06815021;14.38;28;0.5621;32.57;3760.11
23.07;251.46;0.389958567;7.56;21.3;0.5791;32.82;4921.59
39.43;206.69;23.28615657;7.17;34.5;0.5478;23.41;6093.98
33.51;212.96;2.333696838;8.61;27.5;0.5376;26.5;4828.74
60.25;258.28;0.301204819;3.96;29.5;0.4916;28.94;3586.71
38.33;283.25;60.92715232;10.51;23.6;0.4393;33.02;5537.58
49.72;535;44.5685328;13.25;9.6;0.5738;55.69;11387.65
31.03;351.75;27.28790915;8.72;23.8;0.5345;32.96;10552.5
30.47;260.79;68.38347782;13.98;32.2;0.4766;24.74;4706.84
43.95;362;16.04700443;11.25;20.7;0.5679;37.25;5440
37.22;350.28;2.250803859;16.71;13.4;0.4998;49.15;5132
30.53;178.5;0.901734104;20.56;26.1;0.5049;28.75;4317.08
32.83;243.51;7.901643873;6.51;34.5;0.4841;20.55;3455.32
36.53;224.89;12.46330398;17.01;27.3;0.6017;27.43;3889.38
48.24;300.44;32.02769963;5.69;23.8;0.5588;31.43;8089.14
56.11;249.62;0.237341772;6.52;24.7;0.5648;36.88;4827.81
41.5;266.07;14.3593812;13.62;23.8;0.4868;29.99;2918.94
52.41;265.65;50.69204152;10.71;27.7;0.562;33.57;3863.12
30.38;232.56;12.24913495;4.6;27.2;0.4583;30.24;4983.9
47.12;292.89;1.556420233;6.34;20.1;0.5157;33.51;3598.47
41.31;194.73;0.348027842;3.93;28;0.5662;27.57;3597.59
35.63;247.37;41.79669031;12;30.7;0.4661;25.22;4796.9
44.31;316.35;0.410958904;4.36;28.9;0.4473;24.52;3753.65
38.86;222.69;2.0506248;13.31;22;0.5437;34.48;10892.01
31.41;213.85;25.63914193;6.71;32.1;0.5667;24.29;3828.26
42.23;267.91;6.242990654;17.21;19.1;0.5253;33.68;5247.09
20.96;252.87;14.09706174;6.3;33.3;0.4706;26.6;5831.07
30.05;275.03;20.97641705;7.32;24.3;0.529;33.79;4332.6
24.96;249.13;44.65969921;10.05;25.3;0.4588;29.67;3561.03
52.15;232.3;0.183150183;7.99;30.9;0.5789;30.01;5252.25
